Date,Total
2014/9/21,162
2014/9/22,157
2014/9/23,185
2014/9/24,187
2014/9/25,196
2014/9/26,224
2014/9/27,212
2014/9/28,146
2014/9/29,192
2014/9/30,193
2014/10/1,190
2014/10/2,210
2014/10/3,242
2014/10/4,166
2014/10/5,124
2014/10/6,202
2014/10/7,230
2014/10/8,241
2014/10/9,194
2014/10/10,195
2014/10/11,193
2014/10/12,151
2014/10/13,190
2014/10/14,202
2014/10/15,173
2014/10/16,192
2014/10/17,220
2014/10/18,207
2014/10/19,189
2014/10/20,149
2014/10/21,148
2014/10/22,157
2014/10/23,180
2014/10/24,173
2014/10/25,134
2014/10/26,167
2014/10/27,161
2014/10/28,175
2014/10/29,166
2014/10/30,195
2014/10/31,229
2014/11/1,194
2014/11/2,117
2014/11/3,205
2014/11/4,201
2014/11/5,196
2014/11/6,213
2014/11/7,195
2014/11/8,185
2014/11/9,107
2014/11/10,157
2014/11/11,106
2014/11/12,229
2014/11/13,177
2014/11/14,225
2014/11/15,170
2014/11/16,159
2014/11/17,176
2014/11/18,198
2014/11/19,179
2014/11/20,168
2014/11/21,206
2014/11/22,125
2014/11/23,114
2014/11/24,160
2014/11/25,173
2014/11/26,207
2014/11/27,194
2014/11/28,198
2014/11/29,156
2014/11/30,118
2014/12/1,151
2014/12/2,187
2014/12/3,165
2014/12/4,158
2014/12/5,198
2014/12/6,155
2014/12/7,142
2014/12/8,187
2014/12/9,232
2014/12/10,194
2014/12/11,181
2014/12/12,256
2014/12/13,173
2014/12/14,145
2014/12/15,197
2014/12/16,189
2014/12/17,224
2014/12/18,210
2014/12/19,218
2014/12/20,150
2014/12/21,113
2014/12/22,136
2014/12/23,156
2014/12/24,130
2014/12/25,62
2014/12/26,106
2014/12/27,121
2014/12/28,93
2014/12/29,84
2014/12/30,114
2014/12/31,98
2015/1/1,80
2015/1/2,108
2015/1/3,105
2015/1/4,96
2015/1/5,125
2015/1/6,144
2015/1/7,152
2015/1/8,155
2015/1/9,150
2015/1/10,135
2015/1/11,99
2015/1/12,141
2015/1/13,175
2015/1/14,168
2015/1/15,167
2015/1/16,200
2015/1/17,148
2015/1/18,92
2015/1/19,170
2015/1/20,159
2015/1/21,138
2015/1/22,132
2015/1/23,167
2015/1/24,153
2015/1/25,104
2015/1/26,154
2015/1/27,142
2015/1/28,157
2015/1/29,166
2015/1/30,216
2015/1/31,139
2015/2/1,108
2015/2/2,145
2015/2/3,114
2015/2/4,135
2015/2/5,159
2015/2/6,162
2015/2/7,135
2015/2/8,113
2015/2/9,146
2015/2/10,125
2015/2/11,181
2015/2/12,176
2015/2/13,151
2015/2/14,155
2015/2/15,112
2015/2/16,119
2015/2/17,121
2015/2/18,128
2015/2/19,148
2015/2/20,171
2015/2/21,160
2015/2/22,114
2015/2/23,137
2015/2/24,145
2015/2/25,134
2015/2/26,110
2015/2/27,172
2015/2/28,123
2015/3/1,101
2015/3/2,137
2015/3/3,120
2015/3/4,156
2015/3/5,136
2015/3/6,183
2015/3/7,168
2015/3/8,119
2015/3/9,116
2015/3/10,143
2015/3/11,154
2015/3/12,159
2015/3/13,203
2015/3/14,127
2015/3/15,107
2015/3/16,144
2015/3/17,165
2015/3/18,153
2015/3/19,136
2015/3/20,174
2015/3/21,117
2015/3/22,114
2015/3/23,127
2015/3/24,149
2015/3/25,150
2015/3/26,130
2015/3/27,181
2015/3/28,151
2015/3/29,130
2015/3/30,150
2015/3/31,151
2015/4/1,153
2015/4/2,148
2015/4/3,181
2015/4/4,147
2015/4/5,110
2015/4/6,103
2015/4/7,181
2015/4/8,216
2015/4/9,185
2015/4/10,210
2015/4/11,168
2015/4/12,160
2015/4/13,160
2015/4/14,195
2015/4/15,194
2015/4/16,143
2015/4/17,157
2015/4/18,186
2015/4/19,134
2015/4/20,157
2015/4/21,177
2015/4/22,166
2015/4/23,174
2015/4/24,173
2015/4/25,139
2015/4/26,118
2015/4/27,132
2015/4/28,133
2015/4/29,125
2015/4/30,202
2015/5/1,143
2015/5/2,143
2015/5/3,125
2015/5/4,140
2015/5/5,123
2015/5/6,174
2015/5/7,183
2015/5/8,125
2015/5/9,150
2015/5/10,158
2015/5/11,182
2015/5/12,177
2015/5/13,188
2015/5/14,124
2015/5/15,159
2015/5/16,143
2015/5/17,150
2015/5/18,162
2015/5/19,183
2015/5/20,184
2015/5/21,176
2015/5/22,191
2015/5/23,151
2015/5/24,133
2015/5/25,101
2015/5/26,169
2015/5/27,183
2015/5/28,193
2015/5/29,189
2015/5/30,179
2015/5/31,136
2015/6/1,161
2015/6/2,205
2015/6/3,188
2015/6/4,222
2015/6/5,261
2015/6/6,195
2015/6/7,168
2015/6/8,202
2015/6/9,189
2015/6/10,196
2015/6/11,213
2015/6/12,217
2015/6/13,156
2015/6/14,132
2015/6/15,180
2015/6/16,176
2015/6/17,187
2015/6/18,187
2015/6/19,218
2015/6/20,170
2015/6/21,137
2015/6/22,182
2015/6/23,172
2015/6/24,199
2015/6/25,201
2015/6/26,227
2015/6/27,162
2015/6/28,151
2015/6/29,217
2015/6/30,231
2015/7/1,201
2015/7/2,194
2015/7/3,230
2015/7/4,161
2015/7/5,163
2015/7/6,193
2015/7/7,204
2015/7/8,167
2015/7/9,214
2015/7/10,218
2015/7/11,168
2015/7/12,145
2015/7/13,139
2015/7/14,144
2015/7/15,180
2015/7/16,158
2015/7/17,178
2015/7/18,149
2015/7/19,155
2015/7/20,147
2015/7/21,172
2015/7/22,152
2015/7/23,169
2015/7/24,153
2015/7/25,174
2015/7/26,143
2015/7/27,125
2015/7/28,150
2015/7/29,159
2015/7/30,122
2015/7/31,170
2015/8/1,147
2015/8/2,162
2015/8/3,135
2015/8/4,137
2015/8/5,159
2015/8/6,128
2015/8/7,180
2015/8/8,165
2015/8/9,118
2015/8/10,155
2015/8/11,148
2015/8/12,116
2015/8/13,136
2015/8/14,151
2015/8/15,137
2015/8/16,126
2015/8/17,116
2015/8/18,102
2015/8/19,103
2015/8/20,159
2015/8/21,180
2015/8/22,150
2015/8/23,116
2015/8/24,160
2015/8/25,130
2015/8/26,134
2015/8/27,165
2015/8/28,190
2015/8/29,142
2015/8/30,137
2015/8/31,145
2015/9/1,146
2015/9/2,140
2015/9/3,161
2015/9/4,162
2015/9/5,132
2015/9/6,162
2015/9/7,181
2015/9/8,184
2015/9/9,208
2015/9/10,213
2015/9/11,199
2015/9/12,192
2015/9/13,144
2015/9/14,186
2015/9/15,171
2015/9/16,177
2015/9/17,155
